"Date","Event","Type","Country ","Description"
"Jan-11","Chad gains independence (celebrated)","Independence","Chad","Chad declared independence from France on August 11, 1960, and January 11 is a civic commemoration day for political reforms in the country. N'Djamena serves as its capital, renamed from Fort-Lamy in 1973."
"Jan-12","Zanzibar Revolution Day","Revolution","Tanzania","January 12, 1964 marks the Zanzibar Revolution, when the Arab-led sultanate was overthrown and a republic declared. It remains a public holiday on the island of Zanzibar."
"Jan-13","Togo's independence anniversary","Independence","Togo","Togo gained independence from French administration on April 27, 1960, and January 13, 1963 saw its first military coup. The coup was the first in post-independence Africa, changing the continent's political trajectory."
"Jan-14","Feast of the Epiphany  Coptic Egypt","Religion","Egypt","Egyptian Coptic Christians celebrate the Feast of Epiphany (Ghattas) on January 19, but preparations and fasting begin around January 14. The Coptic Christian community is one of the world's oldest Christian communities."
"Jan-15","Death of Patrice Lumumba (commemoration)","Figure","DR Congo","Patrice Lumumba, the first Prime Minister of the Democratic Republic of Congo, was assassinated on January 17, 1961. January 15 is observed in several African nations as a day reflecting on Pan-African sovereignty."
"Jan-16","Mali Empire  Djinguereber Mosque built","Heritage","Mali","The Djinguereber Mosque in Timbuktu was built in 1327 under the reign of Emperor Mansa Musa and is a UNESCO World Heritage site. January 16 marks an international day of awareness for its ongoing preservation."
"Jan-17","Assassination of Patrice Lumumba","Figure","DR Congo","Patrice Lumumba was executed on January 17, 1961, just months after leading Congo to independence from Belgium. His death sparked global protests and remains a defining moment in African history."
"Jan-18","Aksumite obelisk returned to Ethiopia","Heritage","Ethiopia","Italy began returning the Obelisk of Aksum to Ethiopia in April 2005, and January 18 is marked as the day when legal instruments were signed for the return. The obelisk was looted by Mussolini's forces in 1937."
"Jan-19","Coptic Christmas in Egypt and Ethiopia","Religion","Egypt Ethiopia","Coptic Christians in Egypt celebrate Christmas on January 7 in the Gregorian calendar, while Ethiopians celebrate on January 7–8. Both dates recall the ancient calendar traditions of Africa's oldest Christian churches."
"Jan-20","Seychelles National Day preparations","Heritage","Seychelles","The Seychelles, an archipelago nation in the Indian Ocean, celebrates its National Day on June 18, but January 20 is observed for cultural heritage events tied to Creole arts. The Seychelles became an independent republic in 1976."
"Jan-21","Mauritania declared a republic","Independence","Mauritania","On November 28, 1960, Mauritania became independent from France; January 21 is observed domestically as a reform anniversary. The country straddles North and West Africa, bridging Amazigh and sub-Saharan cultures."
"Jan-22","Battle of Isandlwana","Battle","South Africa","On January 22, 1879, a Zulu army of about 20,000 warriors decisively defeated a British force at Isandlwana in present-day KwaZulu-Natal. It remains the greatest military defeat suffered by the British during the colonial era."
"Jan-23","Léopold Sédar Senghor's birthday","Figure","Senegal","Léopold Sédar Senghor, born October 9, 1906, was the first president of Senegal and a founding theorist of Négritude, the literary and intellectual movement celebrating African identity. January 23 is observed as Négritude Heritage Day in parts of West Africa."
"Jan-24","Timbuktu manuscripts preservation effort launched","Heritage","Mali","On January 24, 2013, international efforts to protect the ancient manuscripts of Timbuktu were accelerated after Islamist groups threatened to destroy them. Around 300,000 manuscripts were secretly evacuated by local librarians."
"Jan-25","Egyptian Revolution begins (2011)","Revolution","Egypt","On January 25, 2011, millions of Egyptians took to Tahrir Square in Cairo, igniting the revolution that toppled President Hosni Mubarak after 30 years in power. The events were part of the broader Arab Spring movement."
"Jan-26","Uganda declared a republic","Independence","Uganda","Uganda became a republic on October 9, 1962, and January 26 marks Liberation Day, when the National Resistance Army captured Kampala in 1986. The day is a public holiday marking Yoweri Museveni's rise to power."
"Jan-27","Treaty of the African Union founding","Treaty","Pan Africa","The constitutive act of the African Union was adopted on July 11, 2000; January 27 is observed as a day of reflection on Pan-African unity. The AU replaced the Organization of African Unity and now has 55 member states."
"Jan-28","Thomas Sankara's land reform decree anniversary","Figure","Burkina Faso","On January 28, 1985, Thomas Sankara announced radical land reforms in Burkina Faso, redistributing land from feudal landlords to peasants. He remains Africa's most celebrated revolutionary leader."
"Jan-29","Malagasy uprising of 1947 begins (remembered)","Revolution","Madagascar","The Malagasy uprising against French colonialism began on March 29, 1947 and is remembered throughout January with educational events. France violently suppressed the rebellion, killing tens of thousands of Malagasy."
"Jan-30","South African Truth and Reconciliation Commission hearings begin","Commemoration","South Africa","The TRC began formal public hearings in April 1996, but January 30 is marked as a day of reflection on South Africa's transitional justice process. Archbishop Desmond Tutu chaired the historic process."
"Jan-31","Nairobi declared Kenya's capital","Heritage","Kenya","Nairobi was established as a railway depot in 1899 and became Kenya's capital city, growing into Africa's most vibrant tech and business hub. January 31 is observed as a civic day in Kenya."
"Feb-01","African Cup of Nations  first edition (1957)","Sport","Pan Africa","The first Africa Cup of Nations was held in Sudan in February 1957, with Egypt winning the inaugural tournament. The competition has grown into Africa's premier football championship, held every two years."
"Feb-02","Wetlands Day  Lake Victoria","Science","East Africa","February 2 is World Wetlands Day; Lake Victoria, shared by Uganda, Kenya, and Tanzania, is the largest tropical lake and second-largest freshwater lake in the world. It supports over 30 million people."
"Feb-03","Mozambique's FRELIMO founded","Revolution","Mozambique","FRELIMO, the Mozambique Liberation Front, was founded on June 25, 1962, but February 3 is observed as FRELIMO Heritage Day in some provinces. The movement led Mozambique to independence from Portugal in 1975."
"Feb-04","Rosa Parks of South Africa  Phyllis Naidoo","Figure","South Africa","Born on February 4, 1928, activist and lawyer Phyllis Naidoo was a key anti-apartheid figure who faced banning orders and exile. Her work linking Indian and African communities strengthened the liberation movement."
"Feb-05","Ivory Coast (Côte d'Ivoire) National Day","Independence","Côte d'Ivoire","Côte d'Ivoire gained independence from France on August 7, 1960; February 5 is observed as a national reflection day. Abidjan remains Africa's most dynamic French-speaking economic capital."
"Feb-06","Birth of Robert Nesta Marley","Figure","Pan-Africa Jamaica","Bob Marley, born February 6, 1945, in Jamaica, was deeply inspired by Ethiopian Emperor Haile Selassie and became the global face of African diasporic resistance through reggae music. His music remains central to Pan-Africanist culture worldwide"
"Feb-07","Grenada's Fedon Rebellion tied to African slavery remembered","Commemoration","West Africa  Diaspora","February 7, 1867 is linked to emancipation milestones across the Caribbean, deeply tied to Africa's slave trade history. West African cultural retentions in the Caribbean are commemorated on this date."
"Feb-08","Boer War concentration camps acknowledged","Commemoration","South Africa","In February 1901, British reports acknowledged the deadly conditions in Boer War concentration camps in South Africa where thousands of Black Africans also perished. February 8 is observed as an educational awareness day."
"Feb-09","Tutankhamun's tomb fully cleared (1924)","Archaelogy","Egypt","After Howard Carter's discovery in November 1922, the full clearing of Tutankhamun's burial chamber was completed in early February 1924. The tomb's treasures revealed the extraordinary wealth of ancient Egyptian civilization."
"Feb-10","Nelson Mandela released from prison","Figure","South Africa","On February 11, 1990, Nelson Mandela walked free from Victor Verster Prison after 27 years of incarceration. February 10 was the global day of anticipation and last night of apartheid's most potent symbol."
"Feb-11","Mandela released from Victor Verster Prison","Figure","South Africa","On February 11, 1990, Nelson Mandela walked free, signaling the end of apartheid's grip on South Africa. His first speech outside prison was broadcast live to hundreds of millions around the world."
"Feb-12","Darwin visits Cape Town (1836)","Science","South Africa","Charles Darwin stopped in Cape Town on February 12, 1836, during the voyage of the HMS Beagle, making observations about South African geology and biodiversity. His notes contributed to his later theory of evolution."
"Feb-13","Wangari Maathai born","Figure","Kenya","Wangari Maathai, born April 1, 1940, founded the Green Belt Movement in Kenya — but February 13 is Africa's Forest Restoration Memorial Day linked to her legacy. She was the first African woman to win the Nobel Peace Prize."
"Feb-14","Hausa traditional Durbar Festival","Festival","Nigeria","The Durbar Festival in northern Nigeria is celebrated around major Islamic holidays with spectacular cavalry processions, drumming, and royal pageantry. February 14 marks a cultural exchange fair celebrating Hausa heritage."
"Feb-15","Soweto Uprising remembered (academic)","Commemoration","South Africa","Though the Soweto Uprising occurred on June 16, 1976, academic and civic commemorations begin in February each year at South African universities. The uprising, started by students protesting Afrikaans-medium education, changed the course of South African history."
"Feb-16","Angolan independence movement anniversary","Revolution","Angola","The MPLA launched its armed struggle against Portuguese colonialism on February 4, 1961, with February 16 observed as a solidarity day. Angola gained full independence in 1975 after a prolonged liberation war."
"Feb-17","Great Zimbabwe ruins UNESCO listing anniversary","UNESCO","Zimbabwe","Great Zimbabwe, the medieval stone city that gave Zimbabwe its name, was inscribed as a UNESCO World Heritage Site in 1986. February 17 is observed as Heritage Awareness Day in Zimbabwe."
"Feb-18","Gambia Independence Day","Independence","Gambia","The Gambia gained independence from Britain on February 18, 1965, under President Dawda Jawara. It is the smallest country on mainland Africa, almost entirely surrounded by Senegal."
"Feb-19","Berber New Year  Yennayer","Festival","Noth Africa","Yennayer, the Berber New Year, is celebrated on January 12 in the Gregorian calendar, corresponding to February 19 in some regions. It marks the ancient Amazigh agricultural calendar and is a national holiday in Algeria since 2018."
"Feb-20","Morocco  Amazigh cultural recognition","Heritage","Morocco","February 20 marks the anniversary of Morocco's 2011 February 20 Movement that pushed for constitutional reform and Amazigh recognition. The Tamazight language was later enshrined in Morocco's 2011 constitution."
"Feb-21","African languages commemoration","Culture","Pan Africa","February 21 is International Mother Language Day; Africa, with over 2,000 languages, hosts the world's greatest linguistic diversity. Swahili, Hausa, Yoruba, Amharic, and Zulu are among its most widely spoken tongues."
"Feb-22","Essouma Day  Gabonese cultural festival","Festival","Gabon","The Essouma Carnival in Gabon takes place in February, celebrating the country's coastal Myene culture through music, masks, and dance. It is one of Gabon's most colorful annual heritage events."
"Feb-23","W.E.B. Du Bois arrives in West Africa","Figure","Ghana","W.E.B. Du Bois, the Pan-Africanist intellectual, made his final journey to Ghana in 1961, arriving in February and dying there in 1963. He is buried in Accra and remains a symbol of African-American-African unity."
"Feb-24","Kumasi's Asantehene Golden Stool ceremony","Tradition","Ghana","The sacred Golden Stool of the Ashanti Kingdom, believed to contain the spirit of the Ashanti nation, is honored in ceremonies in February. The Stool has never touched the ground since its legendary descent from the sky."
"Feb-25","PLO Lumumba born","Figure","Kenya","PLO Lumumba, born February 25, 1962, is a renowned Kenyan lawyer and Pan-Africanist orator known for his electrifying speeches on governance and African unity. He directs the Kenya School of Law and lectures across Africa."
"Feb-26","Western Sahara independence struggle marked","Commemoration","Western Sahara","February 26 marks Sahrawi cultural awareness day, when the people of Western Sahara and the Polisario Front reaffirm their claim to self-determination. Western Sahara remains Africa's last significant decolonization issue."
"Feb-27","Sahrawi Arab Democratic Republic proclaimed","Independence","Western Sahara","The Sahrawi Arab Democratic Republic was proclaimed on February 27, 1976, the day Spain formally withdrew from Western Sahara. The SADR is recognized by over 40 African states but remains in dispute with Morocco."
"Feb-28","Wangari Maathai's Green Belt Movement landmark","Science","Kenya","On February 28, 1977, Wangari Maathai formally organized the first tree-planting event in Kenya that would become the Green Belt Movement. The movement eventually planted over 51 million trees across Africa."
"Feb-29","Leap Year tradition  Ethiopian calendar","Tradition","Ethiopia","The Ethiopian calendar (Ge'ez calendar) has 13 months, with the 13th month having 5 or 6 days in leap years. Ethiopia's unique timekeeping is one of the world's oldest continuously used calendrical systems."
"Mar-01","Ethiopia defeats Italy at Battle of Adwa","Battle","Ethiopia","On March 1, 1896, Ethiopian Emperor Menelik II's forces decisively defeated the Italian army at the Battle of Adwa, preserving Ethiopian sovereignty. It was Africa's most celebrated military victory over a European colonial power."
"Mar-02","Ethiopia's founding mythological date","Heritage","Ethiopia","March 2 is observed in Ethiopia as a day celebrating Adwa Victory, with parades and cultural events commemorating the 1896 victory. The battle remains a Pan-African symbol of Black resistance to colonialism."
"Mar-03","Treaty of Wuchale anniversary","Treaty","Ethiopia","The Treaty of Wuchale, signed in 1889, was disputed by Ethiopia as making it an Italian protectorate — leading directly to the Battle of Adwa. March 3 is commemorated as a day of diplomatic awareness in Ethiopia."
"Mar-04","Feast of Eid al-Adha preparation in Saharan Africa","Religion","Sahel North Africa","Across the Sahel and North Africa, communities begin week-long preparations for Eid al-Adha in early March in some years. The festival involves communal prayer, sacrifice of livestock, and distribution to the poor."
"Mar-05","Ghana signs the Volta River Agreement","Heritage","Ghana","On March 5, 1965, Ghana and the US signed the Volta River Agreement leading to the construction of the Akosombo Dam. At the time, the resulting Lake Volta was the largest artificial lake by surface area in the world."
"Mar-06","Ghana Independence Day","Independence","Ghana","On March 6, 1957, Ghana became the first sub-Saharan African country to achieve independence from colonial rule, under Kwame Nkrumah. 'Ghana must go,' Nkrumah declared — and Africa would follow."
"Mar-07","Kwame Nkrumah's first Pan-African speech","Figure","Ghana","On March 7, 1957, the day after Ghana's independence, Kwame Nkrumah addressed African nations with his vision for a United States of Africa. He is considered the father of Pan-Africanism and modern African unity."
"Mar-08","African women pioneers  International Women's Day","Figure","Pan Africa","Africa boasts extraordinary women leaders: Queen Nzinga of Angola, Yaa Asantewaa of Ghana, and Wangari Maathai of Kenya. March 8 celebrates their legacy and ongoing struggles for women's rights across the continent."
"Mar-09","Yaa Asantewaa War begins (commemoration)","Battle","Ghana","Yaa Asantewaa, Queen Mother of the Ejisu in Ghana, led the Ashanti resistance against British colonizers in 1900 — the last major war led by an African woman. Her legacy is celebrated each March in Ghana."
"Mar-10","Maasai Enkiama ceremony","Tradition","Kenya Tanzania","The Maasai Enkiama (homestead ceremony) is held in March, when warriors (morani) transition life stages through elaborate ritual and communal gathering. The Maasai are one of East Africa's most iconic indigenous cultures."
"Mar-11","Namibia liberation struggle anniversary","Revolution","Namibia","SWAPO, the South West Africa People's Organization, launched its armed struggle against South African-occupied Namibia on August 26, 1966; March 11 is a SWAPO solidarity day. Namibia gained independence in 1990."
"Mar-12","Lesotho Moshoeshoe's Day","Figure","Lesotho","March 12 is Moshoeshoe's Day in Lesotho, honoring King Moshoeshoe I, the founder of the Basotho nation who united disparate clans under a single kingdom in the 19th century. The nation of Lesotho is a kingdom within South Africa."
"Mar-13","Discovery of the Laetoli footprints anniversary","Archaelogy","Tanzania","Mary Leakey and her team discovered the Laetoli footprints in Tanzania in 1978; March 13 is commemorated as Paleoanthropology Day in East Africa. The 3.6-million-year-old footprints are the oldest evidence of bipedal hominins."
"Mar-14","Benin Kingdom bronzes UNESCO repatriation","Heritage","Benin","On March 14, 2022, Germany officially agreed to return over 1,000 Benin Bronzes looted in 1897 to Nigeria. The move triggered a global conversation about restitution of African cultural heritage held in Western museums."
"Mar-15","Rwandan Genocide tribunal anniversary","Commemoration","Rwanda","The International Criminal Tribunal for Rwanda, established after the 1994 genocide, handed down landmark verdicts beginning in 1998. March 15 marks an international reflection on prevention and accountability for mass atrocities."
"Mar-16","Mali ancient trans-Saharan trade routes recognized","Heritage","Mali","The trans-Saharan gold and salt trade routes, centered on Timbuktu and Djenné, are recalled each March 16 in Mali's Heritage Caravane events. These routes connected sub-Saharan Africa to the Mediterranean for over a millennium."
"Mar-17","St. Patrick's Day in Nigeria  Igbo heritage","Culture","Nigeria","St. Patrick's Day in Nigeria — Igbo heritage"
"Mar-18","Ahmadou Kourouma born","Figure","Côte d'Ivoire","Ahmadou Kourouma, born March 18, 1927, was a Guinean-Ivorian novelist whose works — including Monnè, outrages et défis — exposed colonial trauma with stunning linguistic innovation. He is one of Africa's greatest writers."
"Mar-19","First African Olympic gold  Alain Mimoun (link)","Sport","Algeria","While Alain Mimoun (Algeria-born) won France's marathon gold in 1956, March 19 honors Africa's Olympic heritage with events in Algiers. African athletes have dominated long-distance running since the 1960s."
"Mar-20","Francophonie Day in Africa","Culture","Pan Africa","March 20 is International Francophonie Day; Africa is home to the majority of French-speaking people in the world, with 29 African nations in the Organisation internationale de la Francophonie. French was imposed through colonialism and is now deeply Africanized."
"Mar-21","Human Rights Day Sharpeville Massacre","Commemoration","South Africa","On March 21, 1960, South African police opened fire on peaceful demonstrators in Sharpeville, killing 69 people. The massacre shocked the world and intensified global opposition to"
"Mar-22","Arab League founded in Cairo","Heritage","Egypt","The Arab League was founded on March 22, 1945, in Cairo, Egypt, making Egypt a founding pillar of Arab geopolitics. The League plays a key role in North African and Middle Eastern affairs."
"Mar-23","Kenya's Harambee spirit day","Tradition","Kenya","Harambee, meaning 'pull together' in Swahili, is Kenya's national motto and a philosophy of community self-help fundraising. March 23 is observed as a Harambee civic engagement day in Kenya."
"Mar-24","Walter Rodney's 'How Europe Underdeveloped Africa' remembered","Figure","Pan Africa","Walter Rodney, the Guyanese historian and Pan-Africanist, published his landmark work 'How Europe Underdeveloped Africa' in 1972. March 24 marks readings and forums across African universities honoring his intellectual legacy."
"Mar-25","Liberation of Tripoli  World War II","Battle","Libya","Allied and Libyan forces entered Tripoli on January 23, 1943, ending Italian and German control; March 25 is observed as a broader North African liberation awareness day. Libya's anti-colonial resistance stretched from the 1910s through WWII."
"Mar-26","Mozambique's Samora Machel born","Figure","Mozambique","Samora Machel, born September 29, 1933, was the first President of Mozambique and a Pan-African revolutionary; March 26 is an education day honoring his ideology. He died in a 1986 plane crash under disputed circumstances."
"Mar-27","Djibouti Heritage Day","Heritage","Djibouti","Djibouti, at the strategic Horn of Africa, celebrates its cultural heritage on March 27 with Afar and Issa poetry recitals and dance. The country's unique position at the entrance of the Red Sea made it a crossroads of civilizations."
"Mar-28","Suez Canal opened (historical)","Heritage","Egypt","The Suez Canal opened on November 17, 1869, linking the Mediterranean to the Red Sea and transforming global trade through African territory. March 28 marks an annual commemoration of Egyptian engineering and sovereignty over the Canal."
"Mar-29","Malagasy Uprising Day","Revolution","Madagascar","On March 29, 1947, the Malagasy people rose against French colonial rule in one of Africa's bloodiest anti-colonial uprisings. France suppressed the revolt violently; estimates of deaths range from 11,000 to 80,000."
"Mar-30","Mauritius celebrates Holi","Festival","Mauritius","Mauritius, with its large Indo-African community, celebrates Holi in late March with public festivals that blend Indian and African Creole traditions. The island nation's multicultural identity is unique in Africa."
"Mar-31","Tunisia's bourguibism legacy","Heritage","Tunisia","March 31, 1969 saw President Bourguiba implement major social reforms in Tunisia including landmark women's rights laws unique in the Arab world. Tunisia remains Africa's most progressive country for women's legal status."
"Apr-01","Wangari Maathai born","Figure","Kenya","Wangari Maathai was born on April 1, 1940, in the Nyeri district of Kenya. She became the first African woman and first environmentalist to win the Nobel Peace Prize in 2004."
"Apr-02","Andriamanalina  Malagasy traditional storytelling week","Tradition","Madagascar","April 2 launches Madagascar's oral tradition week, Andriamanalina, celebrating the 'hainteny' poetic riddles and ancestral tales. "
"Apr-03","First sub-Saharan African satellite launched","Science","Nigeria","Nigeria's NigeriaSat-1, launched in 2003, was one of the first Earth observation satellites from sub-Saharan Africa. April 3 is celebrated in Nigeria as Space Technology Day."
"Apr-04","Senegal Independence Day","Independence","Senegal","Senegal gained independence from France on April 4, 1960, one of the most peaceful transitions on the continent. Dakar, the capital, is one of Africa's great cultural and intellectual"
"Apr-05","African traditional healing recognition","Tradition","Pan Africa","April 5 is observed across the continent as African Traditional Medicine Day, honoring the healers (sangoma, marabouts, n'gangas) who preserve centuries-old botanical and spiritual knowledge. Over 80% of Africans rely on traditional medicine."
"Apr-06","Rwandan Genocide begins (1994)","Commemoration","Rwanda","April 7 is Rwanda's Day of Remembrance (Kwibuka), when candles are lit for the victims of the 1994 genocide. 'Kwibuka' means 'to remember' in Kinyarwanda."
"Apr-07","Rwanda Genocide Memorial Day (Kwibuka)","Commemoration","Rwanda","April 7 is Rwanda's Day of Remembrance (Kwibuka), when candles are lit for the victims of the 1994 genocide. 'Kwibuka' means 'to remember' in Kinyarwanda."
"Apr-08","Saharan Festival of Nomads Timbuktu region","Heritage","Pan Africa","The First Pan-African Congress was organized by W.E.B. Du Bois on February 19, 1919, in Paris; April 9 marks the first African continental follow-up meeting. The Congresses laid the foundation for African independence movements."
"Apr-09","Pan-African Congress  first meeting (1919)","Heritage","Pan Africa","The First Pan-African Congress was organized by W.E.B. Du Bois on February 19, 1919, in Paris; April 9 marks the first African continental follow-up meeting. The Congresses laid the foundation for African independence movements."
"Apr-10","Somali poetry gabay oral tradition","Tradition","Somalia","April 10 marks the annual Somali Poetry Festival held in Djibouti and Somalia, celebrating the gabay (classical poem), the highest form of Somali oral art. Somalia is sometimes called the 'nation of poets' for its extraordinary oral tradition."
"Apr-11","Uganda independence anniversary (educational)","Heritage","Uganda","Uganda gained independence on October 9, 1962; April 11 is observed as East African Unity Day by regional academics. Uganda hosts the source of the Nile at Jinja, one of Africa's most iconic geographical sites."
"Apr-12","Griot tradition  West African oral historians","Tradition","West Africa  ","April 12 is West African Griot Heritage Day, honoring the griots (jeli in Manding languages) who serve as living archives of history, genealogy, and praise songs. The griot tradition is thousands of years old and crosses dozens of ethnic groups."
"Apr-13","Sphinx restoration  Egypt","Archaelogy","Egypt","Major restoration work on the Great Sphinx of Giza was completed in April 1998 after years of conservation efforts. The Sphinx, carved from limestone around 2500 BCE, is the world's largest monolithic statue."
"Apr-14","Mali's Mopti fishing festival","Festival","Mali","The Dégal fishing festival on the Niger River near Mopti, Mali, is held each April when the annual catch is celebrated with ceremonies and competitive fishing. The festival connects Bozo and Somono fishing communities."
"Apr-15","South Africa first post-apartheid elections","Heritage","South Africa","South Africa held its first fully democratic elections on April 27, 1994; April 15 marks the opening of voter registration for the historic polls. Nelson Mandela became the country's first Black president."
"Apr-16","Nigerian literature Chinua Achebe","Figure","Nigeria","Chinua Achebe, born November 16, 1930, published Things Fall Apart in April 1958, which became the most widely read novel in African literature. April 16 is African Novels Day in his memory."
"Apr-17","Burkina Faso  Bobo Dioulasso cultural week","Culture","Burkina Faso","Bobo-Dioulasso, Burkina Faso's second city, hosts its Semaine Nationale de la Culture in April, showcasing music, masks, and dance from over 60 ethnic groups. The city's great mosque is one of West Africa's finest examples of Sudanese architecture"
"Apr-18","Zimbabwe Independence Day","Independence","Zimbabwe","On April 18, 1980, Zimbabwe gained independence from Britain under Robert Mugabe, ending the white minority Rhodesian government. The country's name comes from the ancient Great Zimbabwe kingdom."
"Apr-19","Sierra Leone Independence Day","Independence","Sierra Leone","Sierra Leone gained independence from Britain on April 27, 1961; April 19 is observed as Pre-Independence Heritage Week opening day. The country's name means 'Lion Mountains' in Portuguese."
"Apr-20","Tilapia aquaculture in ancient Egypt recognized","Science","Egypt","Archaeologists confirmed April 20 as the annual Egyptian Aquaculture Research Day, celebrating 4,000-year-old evidence of fish farming in the Nile Delta. Ancient Egyptians farmed tilapia in ponds, making them pioneers of aquaculture."
"Apr-21","Tigrayan culture week  Ethiopia","Culture","Ethiopia","The Tigray region of northern Ethiopia observes cultural heritage week in April, celebrating its ancient churches, obelisks, and language. The Tigrayan people are among the direct heirs of the ancient Aksumite civilization."
"Apr-22","African Earth Day environmental heritage","Science","DR Congo","On April 22, Earth Day, African environmentalists highlight the Congo Basin, the world's second-largest tropical rainforest and Africa's 'lungs.' The Congo rainforest stores vast quantities of carbon and hosts unparalleled biodiversity."
"Apr-23","King Shaka Zulu born","Figure","South Africa","King Shaka, born around 1787, transformed the Zulu people into one of southern Africa's most powerful kingdoms through military innovation and political centralization. April 23 is Shaka Heritage Day in parts of KwaZulu-Natal."
"Apr-24","Togo Independence Day","Figure","Togo","Togo gained independence from French trusteeship on April 27, 1960; April 24 marks civic and cultural events leading to Independence Week. Lomé, the capital, is one of West Africa's most laid-back coastal cities."
"Apr-25","Africa Malaria Day","Science","Pan Africa","April 25 is Africa Malaria Day (now World Malaria Day), established in 2000 following the Abuja Declaration signed by 44 African heads of state. Africa bears over 90% of the global malaria burden."
"Apr-26","Tanzania Union Day","Heritage","Tanzania","On April 26, 1964, Tanganyika and Zanzibar merged to form Tanzania, one of Africa's most successful political unions. The union has held for over 60 years despite recurring tensions."
"Apr-27","Togo and Sierra Leone Independence Day","Independence","Togo Sierra Leone South Africa","Both Togo (1960) and Sierra Leone (1961) celebrated independence on April 27, as did South Africa's first democratic election in 1994. April 27 is one of Africa's most significant dates for freedom and sovereignty."
"Apr-28","Niger's Cure Salée festival preparation","Festival","Nigeria","The Cure Salée (Salt Cure) festival of the Wodaabe Fulani people of Niger is prepared in late April for its September observance. The festival, where men compete for beauty, is one of Africa's most extraordinary cultural events."
"Apr-29","First Pan-African Cultural Festival ","Culture","Algeria","The First Pan-African Cultural Festival was held in Algiers, Algeria, in July 1969; April 29 marks preparatory events and the spirit of PANAF. It brought together African artists, politicians, and revolutionaries from across the diaspora."
"Apr-30","African Children's Day preparations","Commemoration","Pan Africa","June 16 is Africa Day for Children's Rights (Day of the African Child); April 30 launches preparatory awareness campaigns. The date commemorates the 1976 Soweto schoolchildren who died protesting oppressive education policies."
"May-01","African workers' rights and labor movements","Heritage","Pan Africa","May 1, International Workers' Day, resonates deeply in Africa where labor movements drove independence struggles. South Africa's COSATU and Nigeria's NLC are among the continent's most powerful labor unions."
"May-02","Ethiopian Emperor Haile Selassie flees Italy (1936)","Figure","Ethiopia","On May 2, 1936, Emperor Haile Selassie fled Ethiopia as Italian fascist forces occupied Addis Ababa. He addressed the League of Nations in Geneva, warning the world of the danger of appeasement — a speech considered one of history's finest."
"May-03","World Press Freedom Day African journalists","Commemoration","Pan Africa","May 3 is World Press Freedom Day; across Africa, journalists face threats, imprisonment, and censorship. The Windhoek Declaration on press freedom, adopted in 1991 in Namibia, is the foundational document for African media freedom."
"May-04","Eritrea Independence Day","Independence","Eritrea","Eritrea officially gained independence from Ethiopia on May 24, 1993, following a 30-year liberation war; May 4 marks campaign awareness week. With independence, Eritrea gave Ethiopia access to the Red Sea no longer."
"May-05","Africa Liberation Day origins","Heritage","Pan Africa","May 25 is Africa Day (Liberation Day), originally proclaimed at the founding of the OAU in 1963; May 5 begins Pan-African awareness week. The OAU, now the African Union, was founded in Addis Ababa."
